1	11.00
10	4.69
100	7.00
1000	4.00
10000	4.89
10001	0.00
10002	2.50
10004	2.50
10005	1.00
10006	8.00
10009	6.00
10012	7.00
10014	4.50
10017	25.00
1002	0.00
10021	6.00
10024	11.33
10027	1.00
10028	14.30
10029	5.00
10030	7.00
10031	19.00
10037	6.00
10038	1.00
10040	6.00
10042	7.64
10043	13.29
10046	3.25
10047	12.00
10048	9.00
10050	15.74
10055	2.67
1006	6.75
10061	3.00
10062	2.00
10065	12.50
10067	4.22
10069	0.71
10072	14.00
10073	19.60
10076	14.00
10077	6.00
10078	2.33
10079	1.00
1008	4.00
10082	1.00
10085	11.50
10086	12.50
10087	12.83
10088	2.00
10095	19.00
10097	28.67
10105	12.00
10106	18.00
10107	4.71
10111	9.00
10113	14.00
10114	4.00
10116	7.00
1012	10.00
10122	0.00
10123	2.00
10127	1.00
10128	1.00
10131	0.00
10135	24.00
10136	3.00
10139	2.50
10146	13.50
10147	5.00
10148	17.00
1015	0.61
10152	9.00
10153	16.00
10155	2.00
10157	7.33
10158	22.00
1016	5.00
10162	4.50
10164	0.14
10170	21.00
10173	9.00
10174	1.00
10175	27.00
10176	4.00
10177	3.00
10180	10.00
10181	1.00
10182	4.00
10185	1.20
10190	1.00
10192	25.00
10193	0.00
10194	21.00
10199	0.00
1020	8.00
10200	5.00
10201	12.50
10206	9.20
10209	7.00
1021	8.00
10212	0.00
10213	0.00
10214	8.67
10215	0.00
10216	10.00
10218	0.60
10219	6.33
1022	20.00
10220	11.50
10222	9.00
10223	8.67
10225	7.50
10226	8.00
10233	3.00
10236	2.25
10238	24.00
1024	8.50
10244	9.00
10245	11.20
10246	25.25
10249	15.86
10252	7.00
10253	0.00
10255	10.25
10263	6.78
10271	13.00
10273	0.00
10274	14.67
10275	6.57
10279	17.00
1028	15.00
10282	23.00
10283	18.00
10284	6.00
10286	11.37
10289	3.50
10291	14.00
10292	4.00
10294	7.00
10295	0.00
10296	9.00
103	1.00
10301	7.20
10305	6.00
10308	3.68
10312	14.00
10319	4.00
10320	7.00
10322	4.00
10323	4.96
10324	0.00
10326	8.80
10329	8.00
10330	11.50
10333	4.00
10335	1.00
10336	7.75
10340	2.00
10341	28.00
10344	5.00
10347	0.00
10348	6.00
10349	12.00
10354	11.33
10357	6.20
10362	26.00
10363	5.60
10364	6.05
10366	5.00
10368	7.33
10369	0.00
10370	24.00
10373	1.00
10376	7.00
10377	4.74
10378	9.00
10379	14.00
10383	15.00
10386	8.33
10389	1.67
10390	6.33
10394	3.50
10395	6.92
10397	1.00
10399	20.00
104	6.36
1040	4.50
10400	8.00
10401	2.00
10402	12.00
10403	3.50
10405	10.00
10406	26.00
10408	5.00
1041	25.00
10413	12.50
10417	1.00
10421	15.14
10422	12.50
10424	8.25
10430	12.00
10436	12.60
1044	14.33
10440	2.00
10444	3.00
10446	4.33
10449	0.00
10451	20.00
10454	1.00
10456	3.00
10458	17.00
1046	5.00
10462	1.00
10463	14.00
10466	12.00
10467	5.47
1047	2.00
10475	5.50
10476	11.50
10481	5.33
10482	9.00
10486	0.00
10491	5.00
10496	7.14
10501	8.17
10503	5.61
10504	2.00
10510	7.00
10512	26.67
10518	6.00
10520	1.00
10522	1.67
10523	6.00
10524	0.00
10527	1.50
10528	11.38
10531	3.75
10534	11.80
10535	15.50
10536	0.00
1054	5.00
10540	24.00
10543	11.00
10549	5.50
10550	9.00
10552	0.00
10555	13.00
10556	15.00
10559	10.00
10560	5.00
10561	16.80
10566	4.96
1057	7.00
10573	4.00
10578	9.00
10580	7.00
10582	7.50
10587	2.50
10588	2.00
10590	0.00
10593	10.00
10601	10.00
